ID,tail_length
1,72
2,77
3,77
4,79
5,74
6,78
7,73
8,72
9,62
10,70
11,NA
12,NA
13,NA
14,NA
15,48
16,56
17,56
18,55.5
19,52
20,59
21,51
22,59
23,54
24,56.5
25,57
26,60
27,53
28,56
29,57
30,53
31,56
32,NA
33,55
34,54
35,74
36,49
37,50
38,52
39,48
40,49
41,46
42,50
43,48
44,48
45,38
46,41.5
47,44.5
48,40
49,47
50,39
51,28.5
52,63
53,NA
54,37.5
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,56.5
62,38
63,63
64,64
65,66.5
66,34.5
67,33
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,59
75,37
76,68
77,74
78,66
79,72
80,71
81,71
82,77
83,71
84,76
85,67
86,71
87,72
88,71
89,76
90,76
91,60
92,71
93,71
94,82
95,63
96,73
97,NA
98,56
99,62
100,60
101,67
102,76
103,60
104,66
105,70
106,69
107,71
108,71
109,64
110,70
111,57
112,71
113,59
114,74
115,60
116,64.5
117,63
118,59
119,52.5
120,71
121,73
122,76
123,76
124,62
125,62
126,57
127,60
128,63
129,63
130,69
131,44
132,61
133,76
134,61
135,59
136,58
137,63
138,58
139,57
140,67
141,64
142,66
143,51
144,59
145,54
146,60.5
147,61
148,66
149,69
150,67
151,68
152,58
153,61
154,59
155,62
156,59
157,57
158,59.5
159,49
160,56
161,58
162,66
163,72.5
164,56
165,58
166,59
167,60
168,62
169,53.5
170,52.5
171,49.5
172,63
173,61
174,64
175,72
176,55
177,62
178,65
179,57
180,50
181,56
182,57
183,44
184,56
185,56.5
186,47.5
187,60
188,44.5
189,63
190,73
191,70
192,70
193,64
194,69
195,60
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,67
203,58
204,55
205,58
206,74
207,79
208,88
209,79
210,84
211,74
212,75
213,79
214,73
215,81
216,71
217,71
218,80
219,83
220,73
221,99
222,69
223,73
224,74
225,72
226,78
227,83
228,77
229,79
230,75
231,75
232,74
233,75
234,70
235,85
236,73
237,72.5
238,78
239,69
240,78
241,71
242,72
243,64
244,77.6
245,72
246,75
247,74
248,78
249,86
250,68
251,68
252,70
253,75
254,76.5
255,74
256,70
257,65.5
258,74
259,74
260,69
261,70
262,71
263,71
264,75
265,74
266,69
267,72
268,66
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,69.5
277,70
278,75
279,76
280,74
281,79
282,76
283,76.5
284,74
285,74
286,78
287,79
288,76
289,82
290,77
291,75
292,75
293,73
294,79
295,75
296,75
297,72
298,71
299,79
300,75
301,72
302,71
303,70
304,75
305,75
306,79
307,72
308,75
309,67
310,67
311,76
312,78
313,76
314,73
315,71
316,77
317,76
318,78
319,76
320,80
321,75
322,70
323,73
324,73
325,70
326,75
327,69
328,78
329,79
330,71
331,66
332,73
333,75
334,71
335,73
336,75
337,74
338,NA
339,NA
340,NA
341,75
342,76
343,NA
344,76.5
345,77
346,71
347,73
348,74
349,72
350,77
351,72
352,76
353,76
354,73
355,76
356,76
357,75
358,70
359,77
360,74.5
361,77
362,83
363,76
364,75
365,80
366,80
367,77
368,74
369,73
370,80
371,76
372,70
373,79
374,79
375,78
376,71
377,78
378,81
379,79
380,73
381,82
382,78
383,72
384,78.5
385,76
386,73
387,77.5
388,73.5
389,76
390,80
391,75
392,70
393,71
394,75
395,79
396,76
397,74
398,78
399,77
400,77
401,70
402,66
403,75
404,76.5
405,80
406,81.5
407,76
408,76
409,78
410,74
411,76
412,83
413,92
414,77
415,75
416,75
417,75.5
418,76.5
419,85.5
420,75
421,72
422,78
423,79
424,78
425,46
426,70
427,73
428,74
429,76
430,77
431,72
432,82
433,73
434,66
435,78
436,68
437,79
438,79
439,75
440,72
441,73
442,70
443,73
444,83
445,76
446,75
447,76
448,75
449,70
450,70
451,79
452,83.5
453,60
454,78
455,68.5
456,80
457,67
458,69
459,67.5
460,51
461,71
462,70
463,76
464,71
465,66
466,69
467,75
468,30
469,74
470,75
471,80
472,80
473,69
474,77
475,78
476,NA
477,NA
478,NA
479,NA
480,NA
481,NA
482,NA
483,NA
484,NA
485,71
486,78
487,NA
488,NA
489,NA
490,NA
491,NA
492,NA
493,77
494,84
495,85
496,79
497,74
498,79
499,77
500,81
501,76
502,76
503,79
504,78
505,78
506,78
507,76
508,76
509,72
510,76
511,78
512,83
513,74
514,76
515,78
516,75
517,77
518,75
519,72
520,76.5
521,75
522,77
523,74.5
524,80.5
525,81.4
526,73
527,77
528,72.5
529,70
530,79
531,75
532,76.5
533,71
534,77
535,70
536,NA
537,78
538,78
539,81
540,81
541,76
542,72.5
543,77
544,76
545,69
546,72
547,67
548,79
549,74
550,74
551,70
552,75
553,69
554,71
555,76
556,81.5
557,74
558,76
559,74
560,77.5
561,77
562,79
563,71
564,60.5
565,71
566,66
567,70
568,75
569,66
570,75
571,70
572,76.5
573,74
574,77
575,72
576,72
577,73
578,70
579,76
580,70
581,74
582,70
583,73
584,64
585,76
586,79
587,70
588,73
589,73
590,72
591,65
592,59
593,78
594,81
595,81
596,82
597,72
598,78
599,66
600,77
601,NA
602,NA
603,NA
604,NA
605,NA
606,NA
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,80
618,75
619,73
620,NA
621,79
622,79
623,66
624,72
625,75
626,71
627,70
628,76
629,70.5
630,76
631,57
632,NA
633,NA
634,NA
635,NA
636,NA
637,NA
638,81
639,70
640,63.5
641,71
642,78
643,71
644,65
645,NA
646,NA
647,NA
648,NA
649,71
650,NA
651,76.5
652,69
653,NA
654,71
655,NA
656,72.5
657,80
658,53
659,59
660,63.5
661,57
662,54
663,47
664,51
665,77
666,69
667,78
668,70
669,73
670,62
671,69
672,68
673,64.5
674,65.5
675,69
676,71
677,65
678,69
679,69.5
680,67.5
681,64.5
682,70
683,62.5
684,58
685,82
686,80
687,73
688,84
689,81
690,76.8
691,83
692,79
693,82
694,81.5
695,86
696,79.5
697,81
698,74.5
699,77
700,79
701,82
702,82
703,68
704,85
705,72.5
706,74
707,74
708,83
709,85
710,81
711,70
712,76
713,74.5
714,75
715,80
716,59
717,80
718,69
719,74.5
720,62
721,75.5
722,75
723,80
724,84
725,80
726,76
727,68
728,64
729,69
730,61
731,61
732,75
733,77
734,68
735,68
736,70
737,66
738,72
739,67
740,76
741,66
742,73
743,67
744,79